0.03 18.4326346884 \n
0.06 20.4393304262 \n
0.09 23.3021803348 \n
0.12 25.7663243775 \n
0.15 28.573470249 \n
0.18 30.4630187087 \n
0.21 33.4376142917 \n
0.24 34.510507807 \n
0.27 35.929441553 \n
0.3 37.0631031087 \n
0.33 37.6765227177 \n
0.36 37.9449148966 \n
0.39 37.3990153327 \n
0.42 36.6292868195 \n
0.45 35.5057532705 \n
0.48 34.2755380504 \n
0.51 31.9413700942 \n
0.54 29.6126037417 \n
0.57 27.6258264172 \n
0.6 24.4834435223 \n
0.63 20.9453931636 \n
0.66 17.1646082431 \n
0.69 13.2234632156 \n
0.72 8.63750175833 \n
