0.03 6.86502692587 \n
0.06 8.84649496917 \n
0.09 12.9489193582 \n
0.12 19.207539243 \n
0.15 23.1117434128 \n
0.18 27.1613090767 \n
0.21 31.8811527412 \n
0.24 35.748649463 \n
0.27 39.428204051 \n
0.30 45.7624412787 \n
0.33 49.6225965109 \n
0.36 54.4129184755 \n
0.39 58.9998811782 \n
0.42 63.4106481305 \n
0.45 68.6774327702 \n
0.48 73.6637725072 \n
0.51 78.3637941497 \n
0.54 83.8794552869 \n
0.57 88.4855058626 \n
0.60 92.5394764202 \n
0.63 98.339987354 \n
0.66 102.570153662 \n
0.69 107.7679283 \n
0.72 112.834290273 \n
