8.8773896644  24.0074148103 \n
11.4936732325  26.8428382604 \n
13.8802830523  29.1087398046 \n
15.1912779264  30.8937747832 \n
17.0543457236  32.755859312 \n
19.0643476579  34.5350913956 \n
21.6178632451  37.289403269 \n
23.9645298043  38.4127792643 \n
26.8062074857  40.2667397402 \n
29.9289145363  41.3020406847 \n
32.793416938  42.0945871885 \n
35.6579193398  42.8871336923 \n
37.7749121506  43.4409877817 \n
40.5067458654  44.1530029982 \n
43.5766707502  43.3928237532 \n
46.241456849  42.4727425127 \n
49.5838518327  41.791933976 \n
52.0532012637  40.7102098714 \n
54.1659144395  39.7130790806 \n
56.0332618718  39.1261484896 \n
59.6295818692  37.1371095135 \n
61.3371562591  35.9800767272 \n
64.5711338212  33.3409845579 \n
68.260179245  30.2899513202 \n
71.2487910635  28.0610593507 \n
74.6796318386  24.7672716722 \n
77.9007704955  21.4752248622 \n
81.1718382282  17.6113349882 \n
84.2260711177  13.8308778491 \n
87.8965714562  9.39224346368 \n
