5.84273456182 18.4326346884 \n
8.40656632438 20.4393304262 \n
12.8583316922 23.3021803348 \n
16.2587368125 25.7663243775 \n
20.3038345759 28.573470249 \n
23.2281896188 30.4630187087 \n
28.4242396962 33.4376142917 \n
33.1817527078 34.510507807 \n
37.9625038683 35.929441553 \n
42.090926994 37.0631031087 \n
46.4261696441 37.6765227177 \n
50.5310226473 37.9449148966 \n
55.9856801238 37.3990153327 \n
60.0208186805 36.6292868195 \n
65.6208805739 35.5057532705 \n
69.4409002673 34.2755380504 \n
74.8560528907 31.9413700942 \n
79.1663975243 29.6126037417 \n
84.3285862991 27.6258264172 \n
89.8506344071 24.4834435223 \n
93.6998677732 20.9453931636 \n
99.9964101843 17.1646082431 \n
103.691939795 13.2234632156 \n
109.473923196 8.63750175833 \n
